wn,b_0,b_1,b_2,a_0,a_1,a_2
0.43,0.231307979444265,0.46261595888853,0.231307979444265,1,-0.258145865424172,0.183377783201232
0.44,0.239769659093759,0.479539318187519,0.239769659093759,1,-0.221153437523308,0.180232073898346
0.45,0.248341078962541,0.496682157925081,0.248341078962541,1,-0.184213803077536,0.177578118927698
0.46,0.257023454014291,0.514046908028581,0.257023454014291,1,-0.147318187129707,0.175412003186869
0.47,0.265818184101482,0.531636368202963,0.265818184101482,1,-0.110457801182919,0.173730537588846
0.48,0.274726851035635,0.54945370207127,0.274726851035635,1,-0.0736238463849785,0.172531250527518
0.49,0.283751216219319,0.567502432438638,0.283751216219319,1,-0.0368075163928437,0.17181238127012
0.5,0.292893218813452,0.585786437626905,0.292893218813452,1,-3.33066907387547e-16,0.17157287525381
0.51,0.302154974415741,0.604309948831482,0.302154974415741,1,0.0368075163928436,0.17181238127012
0.52,0.311538774228124,0.623077548456248,0.311538774228124,1,0.0736238463849784,0.172531250527518
0.53,0.321047084692941,0.642094169385883,0.321047084692941,1,0.110457801182919,0.173730537588846
0.54,0.330682547579144,0.661365095158288,0.330682547579144,1,0.147318187129707,0.175412003186869
0.55,0.340447980501308,0.680895961002617,0.340447980501308,1,0.184213803077536,0.177578118927698
0.56,0.350346377855414,0.700692755710827,0.350346377855414,1,0.221153437523308,0.180232073898346
0.57,0.360380912156351,0.720761824312702,0.360380912156351,1,0.258145865424172,0.183377783201232
0.58,0.370554935762943,0.741109871525886,0.370554935762943,1,0.295199844606734,0.187019898445039
0.59,0.380871982976808,0.761743965953616,0.380871982976808,1,0.332324111679303,0.191163820227929
0.6,0.391335772501769,0.782671545003537,0.391335772501769,1,0.369527377351241,0.195815712655833
0.61,0.401950210250604,0.803900420501207,0.401950210250604,1,0.406818321057193,0.200982519945221
0.62,0.412719392485785,0.825438784971569,0.412719392485785,1,0.444205584776574,0.206671985166564
0.63,0.423647609280403,0.847295218560806,0.423647609280403,1,0.481697765930095,0.212892671191517
0.64,0.434739348284746,0.869478696569493,0.434739348284746,1,0.519303409225291,0.219653983913695
0.65,0.445999298782892,0.891998597565784,0.445999298782892,1,0.55703099731175,0.226966197819818
0.66,0.457432356022232,0.914864712044465,0.457432356022232,1,0.594888940094066,0.234840483994864
0.67,0.469043625796946,0.938087251593893,0.469043625796946,1,0.632885562536109,0.243288940651677
0.68,0.48083842926409,0.961676858528181,0.48083842926409,1,0.671029090774096,0.252324626282266
0.69,0.492822307968083,0.985644615936165,0.492822307968083,1,0.709327636337744,0.261961595534586
0.7,0.505001029045878,1.01000205809176,0.505001029045878,1,0.747789178258503,0.272214937925007
0.71,0.517380590580959,1.03476118116192,0.517380590580959,1,0.786421542821126,0.283100819502711
0.72,0.529967227069348,1.0599344541387,0.529967227069348,1,0.825232380689478,0.294636527587915
0.73,0.542767414955012,1.08553482991002,0.542767414955012,1,0.864229141109199,0.306840518710848
0.74,0.55578787818527,1.11157575637054,0.55578787818527,1,0.903419042858346,0.319732469882734
0.75,0.569035593728849,1.1380711874577,0.569035593728849,1,0.942809041582063,0.333333333333333
0.76,0.582517796990029,1.16503559398006,0.582517796990029,1,0.982405793108395,0.347665394851723
0.77,0.596241987041631,1.19248397408326,0.596241987041631,1,1.022215612299,0.362752335867527
0.78,0.610215931587233,1.22043186317447,0.610215931587233,1,1.06224442694049,0.378619299408444
0.79,0.624447671548745,1.24889534309749,0.624447671548745,1,1.1024977261288,0.395292960066177
0.8,0.638945525159022,1.27789105031804,0.638945525159022,1,1.1429805025399,0.412801598096189
0.81,0.65371809142027,1.30743618284054,0.65371809142027,1,1.1836971879146,0.431175177766481
0.82,0.668774252767284,1.33754850553457,0.668774252767284,1,1.22465158101309,0.45044543005604
0.83,0.684123176749591,1.36824635349918,0.684123176749591,1,1.2658467672146,0.470645939783765
0.84,0.699774316517975,1.39954863303595,0.699774316517975,1,1.30728502884932,0.491812237222575
0.85,0.715737409868117,1.43147481973623,0.715737409868117,1,1.34896774525279,0.513981894219676
0.86,0.732022476556623,1.46404495311325,0.732022476556623,1,1.39089528142539,0.537194624801102
0.87,0.748639813561891,1.49727962712378,0.748639813561891,1,1.43306686406259,0.561492390184971
0.88,0.765599987913459,1.53119997582692,0.765599987913459,1,1.47548044359265,0.58691950806119
0.89,0.782913826657725,1.56582765331545,0.782913826657725,1,1.51813254071763,0.613522765913272
0.9,0.80059240346457,1.60118480692914,0.80059240346457,1,1.56101807580072,0.641351538057563
0.91,0.818647021307284,1.63729404261457,0.818647021307284,1,1.60413017927596,0.670457905953175
0.92,0.837089190566345,1.67417838113269,0.837089190566345,1,1.64745998107698,0.700896781188402
0.93,0.855930601814815,1.71186120362963,0.855930601814815,1,1.69099637688744,0.732726030371816
0.94,0.875183092438135,1.75036618487627,0.875183092438135,1,1.73472576880927,0.766006600943264
0.95,0.894858606122573,1.78971721224515,0.894858606122573,1,1.77863177782458,0.800802646665707
0.96,0.914969144113082,1.82993828822616,0.914969144113082,1,1.82269492519631,0.837181651256022
0.97,0.93552670699135,1.8710534139827,0.93552670699135,1,1.86689227971171,0.875214548253684
0.98,0.956543225556877,1.91308645111375,0.956543225556877,1,1.91119706742607,0.914975834801434
0.99,0.97803047920656,1.95606095841312,0.97803047920656,1,1.95557824031504,0.956543676511203
0.999,0.997781024102941,1.99556204820588,0.997781024102941,1,1.99555712434579,0.995566972065975
0.9999,0.999777880525276,1.99955576105055,0.999777880525276,1,1.99955571171349,0.999555810387613
